Plot Title: 20827226,,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20827226, SEN S/N: 20827226)","Temp, °C (LGR S/N: 20827226, SEN S/N: 20827226)",Coupler Detached (LGR S/N: 20827226),Coupler Attached (LGR S/N: 20827226),Host Connected (LGR S/N: 20827226),Stopped (LGR S/N: 20827226),End Of File (LGR S/N: 20827226)
1,2019-05-27 16:00,11.33,10.56,,,,,
2,2019-05-28 17:00,,,Logged,,,,
3,2019-05-29 18:00,3.71,4.7,,,,,
4,2019-05-30 19:00,2.02,1.4,,,,,
5,2019-05-30 20:00,1.31,1.68,,,,,
484,2019-05-30 21:00,10.91,9.18,,,,,
485,2019-05-30 22:00,11.03,9.18,,,,,
486,2019-05-30 23:00,10.86,9.24,,,,,
487,2019-05-31 0:00,10.8,9.28,,,,,
488,2019-10-18 10:00,10.71,9.32,,,,,
16516,2019-10-18 11:00,13.43,7.06,,,,,
16517,2019-10-18 12:00,13.48,7.08,,,,,
16518,2019-10-18 13:00,13.49,7.06,,,,,
16519,2019-10-18 14:00,13.42,6.92,,,,,
16520,2019-10-18 15:00,13.78,6.8,,,,,
16521,2019-10-18 16:00,11.61,11.02,,,,,
16522,2019-10-18 17:00,10.48,15.22,,,,,
16523,2019-10-18 18:00,9.4,17.4,,,,,
16524,2019-10-18 19:00,9.62,18.16,,,,,
16525,2019-10-19 13:00,9.6,18.48,,,,,
16599,2019-10-19 14:00,11.86,9.8,,,,,
16600,2019-10-20 14:48,11.73,10.32,,,,,
16601,2019-10-20 14:48,11.59,10.78,,,,,
16602,2019-10-20 14:49,,,,Logged,,,
16603,2022-05-13 12:22,,,,,Logged,,
16604,2022-05-13 12:22,11.02,12.66,,,,,
16605,2022-05-13 12:22,,,,,,Logged,Logged
