Timestamp(UTC),Time Corrected(seconds),Sensor,Record Type,Dissolved Oxygen,Temperature,Device Tilt,Battery Voltage,TimeSet,Time,Text
undefined,,aquaMeasure-670364,Undefined Record,,,,,,,
undefined,,aquaMeasure-670364,Undefined Record,,,,,,,
9s after startup (time not set),,aquaMeasure-670364,Text,,,,,,,ACT MODE
11s after startup (time not set),,aquaMeasure-670364,Dissolved Oxygen,-101,,,,,,
2019-05-29 18:00:00,0,aquaMeasure-670364,Dissolved Oxygen,98.4,,,,,,
2019-05-29 18:00:00,0,aquaMeasure-670364,Temperature,,5.56,,,,,
2019-05-29 18:00:00,0,aquaMeasure-670364,Device Tilt,,,89.8,,,,
2019-05-29 18:00:00,0,aquaMeasure-670364,Battery Voltage,,,,1.65,,,
2019-05-29 18:00:00,0,aquaMeasure-670364,Text,,,,,,,BLE DISC
2019-05-30 19:00:00,0,aquaMeasure-670364,Text,,,,,,,BLE CONN
2019-05-30 20:00:00,0,aquaMeasure-670364,Text,,,,,,,BLE DISC
2019-05-30 21:00:00,0,aquaMeasure-670364,Dissolved Oxygen,98.6,,,,,,
2019-05-30 21:00:00,0,aquaMeasure-670364,Temperature,,5.9,,,,,
2019-05-30 21:00:00,0,aquaMeasure-670364,Device Tilt,,,88.1,,,,
2019-05-30 22:00:00,0,aquaMeasure-670364,Dissolved Oxygen,98.4,,,,,,
2019-05-30 22:00:00,0,aquaMeasure-670364,Temperature,,5.98,,,,,
2019-05-30 22:00:00,0,aquaMeasure-670364,Device Tilt,,,86,,,,
2019-05-30 23:00:00,-1,aquaMeasure-670364,Battery Voltage,,,,1.652,,,
2019-05-31 0:00:00,-1,aquaMeasure-670364,Dissolved Oxygen,97.8,,,,,,
2019-05-31 0:00:00,-1,aquaMeasure-670364,Temperature,,6.64,,,,,
2019-05-31 0:00:00,-1,aquaMeasure-670364,Device Tilt,,,83.7,,,,
2019-10-18 12:00:00,-1,aquaMeasure-670364,Dissolved Oxygen,99.6,,,,,,
2019-10-18 12:00:00,-1,aquaMeasure-670364,Temperature,,6.86,,,,,
2019-10-18 12:00:00,-1,aquaMeasure-670364,Device Tilt,,,91.9,,,,
2019-10-18 13:00:00,-1,aquaMeasure-670364,Dissolved Oxygen,95.8,,,,,,
2019-10-18 13:00:00,-1,aquaMeasure-670364,Temperature,,10.81,,,,,
2019-10-18 14:00:00,-1,aquaMeasure-670364,Device Tilt,,,96.1,,,,
2019-10-18 14:00:00,-1,aquaMeasure-670364,Battery Voltage,,,,1.651,,,
2019-10-18 15:00:00,-1,aquaMeasure-670364,Dissolved Oxygen,96.5,,,,,,
2019-10-18 15:00:00,-1,aquaMeasure-670364,Temperature,,10.73,,,,,
2019-10-18 15:00:00,-1,aquaMeasure-670364,Device Tilt,,,102.5,,,,
2019-10-18 16:00:00,-1,aquaMeasure-670364,Text,,,,,,,BLE WD1
2019-10-18 17:00:00,-1,aquaMeasure-670364,Dissolved Oxygen,101.2,,,,,,
2019-10-18 17:00:00,-1,aquaMeasure-670364,Temperature,,1.99,,,,,
2019-10-18 17:00:00,-1,aquaMeasure-670364,Device Tilt,,,6.1,,,,
2019-10-18 18:00:00,-2,aquaMeasure-670364,Battery Voltage,,,,1.651,,,
2019-10-18 19:00:00,-2,aquaMeasure-670364,Dissolved Oxygen,100.6,,,,,,
2019-10-18 19:00:00,-2,aquaMeasure-670364,Temperature,,1.57,,,,,
2019-10-18 19:00:00,-2,aquaMeasure-670364,Device Tilt,,,5.9,,,,
2019-10-19 13:00:00,-2,aquaMeasure-670364,Dissolved Oxygen,100.3,,,,,,
2019-10-19 13:00:00,-2,aquaMeasure-670364,Temperature,,1.53,,,,,
2019-10-19 13:00:00,-2,aquaMeasure-670364,Device Tilt,,,6.6,,,,
2019-10-19 14:00:00,-2,aquaMeasure-670364,Dissolved Oxygen,100.2,,,,,,
2019-10-20 14:48:00,,aquaMeasure-670364,Dissolved Oxygen,80.2,,,,,,
2019-10-20 14:48:00,,aquaMeasure-670364,Text,,,,,,,BLE CONN
2019-10-20 14:48:00,,aquaMeasure-670364,Time Set,,,,,1571498216,12258245,
undefined,,aquaMeasure-670364,End of File,,,,,,,
